tradingdate,closeprice,volume,open,high,low,symbol
2022-09-09,85.45,68936920,84.03,85.68,83.84,amd
2022-09-08,82.78,89089300,80.03,83.45,79.24,amd
2022-09-07,79.61,67891170,79.24,80.25,77.74,amd
2022-09-06,78.72,68727300,80.41,80.89,78.37,amd
2022-09-02,80.24,84924450,83.32,83.65,79.81,amd
2022-09-01,82.33,94854710,82.35,82.76,78.52,amd
2022-08-31,84.87,64991720,86.28,86.72,83.72,amd
2022-08-30,86.94,69087120,90.06,90.15,85.34,amd
2022-08-29,88.49,61142540,90.05,91.19,88.26,amd
2022-08-26,91.18,65552540,96.29,97.6,91.12,amd
2022-08-25,97.18,61016200,93.14,97.57,93.14,amd
2022-08-24,92.73,56520430,92.21,93.38,90.9,amd
2022-08-23,92.49,52590670,92.39,94.44,92.11,amd
2022-08-22,92.84,61837280,94.4,95.02,92.36,amd
2022-08-19,95.95,67221690,98.67,99.25,94.59,amd
2022-08-18,100.44,76059520,97.74,101.07,96.73,amd
2022-08-17,98.27,63735580,99.26,99.64,96.73,amd
2022-08-16,100.2,60220670,100.84,101.45,98.32,amd
2022-08-15,101.01,61327140,100.51,101.85,99.8,amd
2022-08-12,100.83,72316350,99.2,101.4,98.48,amd
2022-08-11,98.12,77516860,99.93,102.37,98,amd
2022-08-10,99.05,83416120,98.45,99.35,95.61,amd
2022-08-09,95.54,89473660,97.95,98.05,93.67,amd
2022-08-08,100.07,92692590,100.06,101.8,97.99,amd
2022-08-05,102.31,93859880,101.05,103.86,100.98,amd
2022-08-04,103.91,125855800,97.5,104.59,97.26,amd
2022-08-03,98.09,131142000,94.83,98.77,93.62,amd
2022-08-02,99.29,116734100,95.71,100.92,95.36,amd
2022-08-01,96.78,96477500,95.59,98.39,93.96,amd
2022-07-29,94.47,76630710,90.7,94.81,90.56,amd
2022-07-28,91.67,79009190,90.42,92.22,88.59,amd
2022-07-27,89.82,78301560,86.94,90.62,86.29,amd
2022-07-26,85.25,69180370,87,87.75,84.71,amd
2022-07-25,87.54,70083010,86.57,87.6,85.12,amd
2022-07-22,88.1,76989700,90.2,90.69,87.04,amd
2022-07-21,91.09,90449340,89.6,91.58,88.22,amd
2022-07-20,89.43,88348560,85.39,89.92,85.08,amd
2022-07-19,85.88,85047510,82.76,86.41,82.19,amd
2022-07-18,81.43,90464330,82.21,84.47,80.94,amd
2022-07-15,81.11,76050600,79.36,81.2,77.9,amd
2022-07-14,78.6,83493650,78.23,79.25,76,amd
2022-07-13,77.52,79354980,74.94,79.11,74.48,amd
2022-07-12,76.36,77873210,76.98,77.44,74.43,amd
2022-07-11,76.95,76247540,77.85,78.29,75.84,amd
2022-07-08,79.35,83405930,78.31,80.47,77.4,amd
2022-07-07,79.3,83640950,77.2,79.99,76.9,amd
2022-07-06,75.35,85458860,75.17,76.28,73.55,amd
2022-07-05,75.2,95685750,71.98,75.21,71.6,amd
2022-07-01,73.67,87734240,75.19,75.45,72.69,amd
2022-06-30,76.47,105368600,77.73,78.91,75.48,amd
2022-06-29,77.99,104140900,79.55,79.75,76.51,amd
2022-06-28,80.78,95752530,85.71,86.73,80.43,amd
2022-06-27,86.16,74663490,87.36,88.22,85.25,amd
2022-06-24,87.08,88553890,83.56,87.53,83.08,amd
2022-06-23,82.43,100614600,84.32,84.41,80.23,amd
2022-06-22,83.75,86634720,84.4,86.38,83.3,amd
2022-06-21,83.79,87780570,84.17,85.81,82.6,amd
2022-06-17,81.57,105212300,82.19,82.94,79.43,amd
2022-06-16,82.05,102433300,86.63,86.73,80.64,amd
2022-06-15,89.3,95774810,87.9,90.86,86.19,amd
2022-06-14,86.99,84066570,87.41,88.3,85.82,amd
2022-06-13,86.99,98148810,91.26,92.03,86.64,amd
2022-06-10,94.82,102212200,98.82,99.93,94.25,amd
2022-06-09,98.8,95298980,101.57,103.94,98.74,amd
2022-06-08,101.9,97641870,104.57,105.85,100.41,amd
2022-06-07,105.28,79022850,104.24,106.24,102.61,amd
2022-06-06,105.65,96726890,108.27,109.57,104.23,amd
2022-06-03,106.3,110844700,105.8,109.39,104.65,amd
2022-06-02,108.59,120953800,100.78,109.5,100.78,amd
2022-06-01,101.22,99351390,102.13,103.57,99.55,amd
2022-05-31,101.86,125102900,102.43,104.55,100.04,amd
2022-05-27,102.26,104348400,100.14,102.4,99.38,amd
2022-05-26,98.75,128792700,91.34,100.33,90.74,amd
2022-05-25,92.65,111771100,90.43,93.89,89.52,amd
2022-05-24,91.16,123341400,92.54,93.42,89.62,amd
2022-05-23,95.07,128773000,91.66,95.19,90.92,amd
2022-05-20,93.5,164126800,98.39,98.64,88.26,amd
2022-05-19,96.67,141506200,96.69,100.69,95.09,amd
2022-05-18,96.28,142603200,100,104.22,95.71,amd
2022-05-17,102.47,164227200,97.88,103.2,97.54,amd
2022-05-16,94.24,131065700,93.86,98.17,93.08,amd
2022-05-13,95.12,138068100,88.3,96.57,88.22,amd
2022-05-12,87.06,129214200,86.6,88.55,83.27,amd
2022-05-11,87.92,136137900,87.84,93.46,86.53,amd
2022-05-10,88.73,137235500,89.18,90.77,85.41,amd
2022-05-09,86.36,144523700,92.87,93.74,85.38,amd
2022-05-06,95.34,144286600,94.34,98.18,92.65,amd
2022-05-05,93.87,153129800,97.65,97.84,92.17,amd
2022-05-04,99.42,225394100,98.18,99.69,91.7,amd
2022-05-03,91.13,126381800,89.85,92.21,89.01,amd
2022-05-02,89.84,98304090,85.66,90.37,85.32,amd
2022-04-29,85.52,82647700,88.05,91.79,85.38,amd
2022-04-28,89.64,91495450,86.67,90.58,84.78,amd
2022-04-27,84.91,83125050,84.25,87.9,84.02,amd
2022-04-26,85.16,89127400,89.74,90.12,85.08,amd
2022-04-25,90.69,93481040,89.86,91.37,88.61,amd
2022-04-22,88.14,75017650,90.03,91.46,87.94,amd
2022-04-21,89.85,76680640,95.16,96.23,89.24,amd
2022-04-20,94.02,62489050,97.84,97.91,93.2,amd
2022-04-19,96.93,77069500,93.39,97.07,92.84,amd
2022-04-18,93.89,80605750,92.03,95.16,91.64,amd
2022-04-14,93.06,73354370,98.37,98.39,92.92,amd
2022-04-13,97.74,77728420,95.3,98.33,94.71,amd
2022-04-12,95.1,89246450,98.78,99.59,94.6,amd
2022-04-11,97.37,95527660,98.6,98.67,95.94,amd
2022-04-08,101,92746660,102.51,102.99,100.42,amd
2022-04-07,103.72,91895530,103.92,105.24,100.91,amd
2022-04-06,103.67,105256600,104.45,105.74,101.71,amd
2022-04-05,106.82,79531960,109.69,110.48,106.05,amd
2022-04-04,110.53,90220030,109.97,110.94,107.03,amd
2022-04-01,108.19,111867100,110.48,111.42,106.1,amd
2022-03-31,109.34,147004800,116.31,116.38,109.02,amd
2022-03-30,119.22,99476950,123.04,125.67,118.59,amd
2022-03-29,123.23,94143030,122.28,123.71,119.59,amd
2022-03-28,120.24,92966150,117.7,120.41,116.71,amd
2022-03-25,119.67,95852380,119.92,121.4,117.25,amd
2022-03-24,120.53,121961300,114.96,120.55,113.71,amd
2022-03-23,113.92,90579150,114.29,117.55,112.21,amd
2022-03-22,114.78,101672600,115.43,117.95,113.81,amd
2022-03-21,115.92,101905900,113.73,117.57,112.54,amd
